425.000	0.001150
430.000	0.003866
435.000	0.007362
440.000	0.012712
445.000 	0.020270
450.000	0.030310
455.000	0.042494
460.000	0.058051
465.000 	0.078633
470.000	0.108692
480.000	0.195122
485.000	0.238731
490.000	0.279716
495.000	0.331565
500.000	0.413319
505.000 	0.531473
510.000 	0.666419
515.000	0.767272
520.000	0.791371
525.000	0.765571
530.000	0.765571
535.000	0.837723
540.000	0.987931
545.000	1.192927
550.000	1.339980
555.000	1.240688
560.000	0.898115
565.000	0.520093
570.000	0.252651
575.000	0.108725
580.000	0.043011
585.000	0.015672
590.000	0.004674
595.000	0.000100
