470	0.427703
475	1.12365
480	2.59765
485	6.05206
490	12.558
495	22.5484
500	36.4587
505	50.9945
510	64.8055
515	76.8929
520	86.7535
525	93.3721
530	97.9432
535	99.4828
540	99.6782
545	97.6073
550	94.0387
555	89.6494
560	84.9301
565	79.0486
570	73.3311
575	67.208
580	61.4355
585	55.5343
590	49.9309
595	44.7291
600	39.8636
605	35.1028
610	31.5283
615	27.8543
620	24.6738
625	21.6734
630	19.1556
635	16.8707
640	14.7836
645	12.9077
650	11.3588
655	9.78269
660	8.42713
665	7.44794
670	6.36821
675	5.84184
680	5.21655
685	4.51932
690	3.97421
695	3.53652
700	3.02786
